City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
447,fisterra,42.9049,-9.2629,13.75,78,3,10.24,ES,2024-06-10 02:48:34
448,bandarbeyla,9.4942,50.8122,27.26,68,98,12.01,SO,2024-06-10 02:48:34
449,belomorsk,64.5232,34.7668,10.98,84,100,4.08,RU,2024-06-10 02:48:35
450,island harbour,50.724,-1.2758,14.01,79,100,2.68,GB,2024-06-10 02:48:35
451,beibei,29.8256,106.4339,25.78,71,67,0.83,CN,2024-06-10 02:48:35
452,oriximina,-1.7656,-55.8661,24.25,94,95,1.57,BR,2024-06-10 02:48:35
453,jayapura,-2.5333,140.7,31.66,78,16,2.09,ID,2024-06-10 02:48:35
454,anloga,5.7947,0.8973,26.8,84,100,3.8,GH,2024-06-10 02:48:36
455,alaghsas,17.0187,8.0168,30.15,10,0,2.78,NE,2024-06-10 02:48:36
456,remire-montjoly,4.9167,-52.2667,25.02,100,0,0.0,GF,2024-06-10 02:48:36
457,medan,3.5833,98.6667,28.55,73,100,1.45,ID,2024-06-10 02:48:37
458,longjing,42.7714,129.4233,25.58,36,23,3.45,CN,2024-06-10 02:48:37
459,ghat,24.9647,10.1728,27.08,8,0,1.15,LY,2024-06-10 02:48:37
460,siavonga,-16.5382,28.7088,17.14,63,89,1.95,ZM,2024-06-10 02:48:37
